#body,head,ruleId,isAgg
increaseAllowance,allowanceTotal,16,true
totalMint,balanceOf,2,false
recv_approve,increaseAllowance,1,false
transferFrom,transfer,8,false
totalOut,balanceOf,2,false
burn,totalBurn,5,true
totalBalances,unequalBalance,19,false
transferFrom,spentTotal,17,true
mint,totalMint,13,true
mint,allMint,14,true
balanceOf,totalBalances,11,true
recv_transferFrom,transferFrom,18,false
totalIn,balanceOf,2,false
recv_transfer,transfer,9,false
allMint,totalSupply,10,false
allowanceTotal,allowance,0,false
totalSupply,unequalBalance,19,false
burn,allBurn,3,true
transfer,totalOut,12,true
spentTotal,allowance,0,false
recv_burn,burn,4,false
allBurn,totalSupply,10,false
recv_mint,mint,7,false
totalBurn,balanceOf,2,false
transfer,totalIn,15,true
